,phrase,phrase ids,sentiment values,overall sentiment,sentiment_value,sentence_index,splitset_label
64,"A moody , multi-dimensional love story and sci-fi mystery , Solaris is a thought-provoking , haunting film that allows the seeds of the imagination to germinate .",44169,0.80556,very positive,4,1635,3
65,"A morose little soap opera about three vapid , insensitive people who take turns hurting each other .",143228,0.41667,neutral,2,7576,3
66,A movie that hovers somewhere between an acute character study and a trite power struggle .,143245,0.47222,neutral,2,7399,3
67,A movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair .,24395,0.75,positive,3,1286,3
68,A movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the Godzilla sized soda .,222063,0.77778,positive,3,1229,3
69,A movie with a real anarchic flair .,44176,0.68056,positive,3,1670,3
70,"A muckraking job , the cinematic equivalent of a legal indictment , and a fairly effective one at that .",44187,0.59722,neutral,2,1515,3
71,"A must-see for the David Mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking .",24398,0.88889,very positive,4,1212,3
72,A painfully funny ode to bad behavior .,44192,0.73611,positive,3,1467,3
73,"A perplexing example of promise unfulfilled , despite many charming moments .",143268,0.43056,neutral,2,7552,3
74,"A pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable .",44201,0.70833,positive,3,1631,3
75,"A poignant , artfully crafted meditation on mortality .",24412,0.95833,very positive,4,1145,3
76,"A poignant and compelling story about relationships , Food of Love takes us on a bumpy but satisfying journey of the heart .",44204,0.94444,very positive,4,1434,3
77,"A psychological thriller with a genuinely spooky premise and an above-average cast , actor Bill Paxton 's directing debut is a creepy slice of gothic rural Americana .",44212,0.81944,very positive,4,1519,3
78,A quiet treasure -- a film to be savored .,24426,0.93056,very positive,4,1193,3
79,"A ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .",143284,0.45833,neutral,2,7473,3
80,A rarity among recent Iranian films : It 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight .,24432,0.875,very positive,4,1146,3
81,A rewarding work of art for only the most patient and challenge-hungry moviegoers .,222076,0.75,positive,3,1192,3
82,A rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .,24451,0.72222,positive,3,1190,3
83,A romantic comedy enriched by a sharp eye for manners and mores .,44227,0.81944,very positive,4,1606,3
84,A science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left .,143313,0.18056,very negative,0,7544,3
85,A sequel that 's much too big for its britches .,143321,0.23611,negative,1,7549,3
86,A sequence of ridiculous shoot - 'em - up scenes .,143326,0.38889,negative,1,7861,3
87,"A simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past .",44247,0.83333,very positive,4,1498,3
88,"A smart , witty follow-up .",24462,0.88889,very positive,4,1168,3
89,A sober and affecting chronicle of the leveling effect of loss .,24465,0.55556,neutral,2,1164,3
90,A solid examination of the male midlife crisis .,44266,0.68056,positive,3,1580,3
91,A solid film ... but more conscientious than it is truly stirring .,143357,0.66667,positive,3,7844,3
92,A sometimes tedious film .,143359,0.375,negative,1,7731,3
93,"A spellbinding African film about the modern condition of rootlessness , a state experienced by millions around the globe .",44272,0.86111,very positive,4,1633,3
94,A strangely compelling and brilliantly acted psychological drama .,44279,0.91667,very positive,4,1475,3
95,A string of rehashed sight gags based in insipid vulgarity .,143374,0.34722,negative,1,7567,3
96,"A study in shades of gray , offering itself up in subtle plot maneuvers ...",24475,0.625,positive,3,1280,3
97,A stunning and overwhelmingly cogent case for Kissinger as a calculating war criminal .,24478,0.44444,neutral,2,1275,3
98,A subject like this should inspire reaction in its audience ; The Pianist does not .,44288,0.22222,negative,1,1379,3
99,A superbly acted and funny\/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate .,44290,0.72222,positive,3,1416,3
100,"A swashbuckling tale of love , betrayal , revenge and above all , faith .",24485,0.65278,positive,3,1177,3
101,A synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness .,143386,0.29167,negative,1,7482,3
102,A taut psychological thriller that does n't waste a moment of its two-hour running time .,44295,0.79167,positive,3,1611,3
103,"A tender , heartfelt family drama .",24494,0.79167,positive,3,1328,3
104,"A tender , witty , captivating film about friendship , love , memory , trust and loyalty .",44299,0.88889,very positive,4,1516,3
105,A thinly veiled look at different aspects of Chinese life clashing with each other .,44307,0.41667,neutral,2,1648,3
106,A touch of humor or an unexpected plot twist always pulls it back .,222107,0.52778,neutral,2,1625,3
107,"A twisty , moody slice of Southern Gothic ...",44327,0.58333,neutral,2,1384,3
108,A valueless kiddie paean to pro basketball underwritten by the NBA .,143409,0.27778,negative,1,7433,3
109,"A very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction .",143420,0.19444,very negative,0,7542,3
110,"A very well-made , funny and entertaining picture .",44332,0.97222,very positive,4,1636,3
111,"A warm , funny , engaging film .",24502,0.88889,very positive,4,1120,3
112,"A warm but realistic meditation on friendship , family and affection .",24505,0.83333,very positive,4,1234,3
113,A wildly inconsistent emotional experience .,143436,0.30556,negative,1,7729,3
114,A woman 's pic directed with resonance by Ilya Chaiken .,44351,0.79167,positive,3,1548,3
115,A working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered .,222134,0.79167,positive,3,7416,3
116,A workshop mentality prevails .,143451,0.52778,neutral,2,7655,3
117,"About a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological .",44358,0.70833,positive,3,1659,3
118,"Add yet another hat to a talented head , Clooney 's a good director .",24539,0.83333,very positive,4,1173,3
119,"Adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized .",222196,0.22222,negative,1,7785,3
120,Affleck and Jackson are good sparring partners .,24546,0.77778,positive,3,1296,3
121,"Against all odds in heaven and hell , it creeped me out just fine .",24552,0.75,positive,3,1187,3
122,"Ah yes , and then there 's the music ...",222217,0.5,neutral,2,1359,3
123,Ahhhh ... revenge is sweet !,24555,0.75,positive,3,1317,3
124,"All in all , The Count of Monte Cristo is okay , but it is surely no classic , like the novel upon which it is based .",24566,0.51389,neutral,2,1259,3
125,"All that 's missing is the spontaneity , originality and delight .",222239,0.27778,negative,1,7621,3
126,"All the amped-up Tony Hawk-style stunts and thrashing rap-metal ca n't disguise the fact that , really , we 've been here , done that .",143624,0.23611,negative,1,7548,3
127,"All-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us .",44401,0.68056,positive,3,1668,3
128,Allows us to hope that Nolan is poised to embark a major career as a commercial yet inventive filmmaker .,44410,0.75,positive,3,1427,3
129,Almost gags on its own gore .,143645,0.15278,very negative,0,7440,3
130,"Although German cooking does not come readily to mind when considering the world 's best cuisine , Mostly Martha could make Deutchland a popular destination for hungry tourists .",24575,0.68056,positive,3,1130,3
131,"Although Huppert 's intensity and focus has a raw exhilaration about it , The Piano Teacher is anything but fun .",143662,0.31944,negative,1,7826,3
132,"Although Jackson is doubtless reserving the darkest hours for The Return of the King , we long for a greater sense of urgency in the here and now of The Two Towers .",44414,0.48611,neutral,2,1361,3
133,"Although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .",24581,0.77778,positive,3,1302,3
134,"Although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs .",24583,0.55556,neutral,2,1171,3
135,"Although the level of the comedy declines as the movie proceeds , there 's no denying the fun of watching De Niro and Crystal having fun .",44418,0.56944,neutral,2,1459,3
136,"Although there are several truly jolting scares , there 's also an abundance of hackneyed dialogue and more silly satanic business than you can shake a severed limb at .",143668,0.5,neutral,2,7587,3
137,"Altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .",24589,0.84722,very positive,4,1246,3
138,American Chai encourages rueful laughter at stereotypes only an Indian-American would recognize .,143681,0.34722,negative,1,7745,3
139,Among the year 's most intriguing explorations of alientation .,44449,0.94444,very positive,4,1396,3
140,"An absurdist comedy about alienation , separation and loss .",44455,0.36111,negative,1,1387,3
141,An appealingly juvenile trifle that delivers its share of laughs and smiles .,44458,0.44444,neutral,2,1566,3
142,"An artful , intelligent film that stays within the confines of a well-established genre .",44461,0.83333,very positive,4,1661,3
143,"An entertaining , colorful , action-filled crime story with an intimate heart .",44473,0.79167,positive,3,1541,3
144,"An exhilarating futuristic thriller-noir , Minority Report twists the best of technology around a gripping story , delivering a riveting , pulse intensifying escapist adventure of the first order",44488,0.94444,very positive,4,1518,3
145,An exquisitely crafted and acted tale .,44492,0.88889,very positive,4,1610,3
146,"An important movie , a reminder of the power of film to move us and to make us examine our values .",44506,0.84722,very positive,4,1371,3
147,An infectious cultural fable with a tasty balance of family drama and frenetic comedy .,24643,0.65278,positive,3,1170,3
148,An intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .,24657,0.73611,positive,3,1222,3
149,"An occasionally funny , but overall limp , fish-out-of-water story .",143745,0.27778,negative,1,7663,3
150,"An operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .",44532,0.70833,positive,3,1349,3
151,"An overemphatic , would-be wacky , ultimately tedious sex farce .",143755,0.31944,negative,1,7679,3
152,An unclassifiably awful study in self - and audience-abuse .,143766,0.083333,very negative,0,7409,3
153,"An unpredictable blend of gal-pal smart talk , romantic comedy and dark tragedy that bites off considerably more than writer\/director John McKay can swallow .",143785,0.52778,neutral,2,7571,3
154,An unwise amalgam of Broadcast News and Vibes .,143795,0.23611,negative,1,7850,3
155,"Anchored by Friel and Williams 's exceptional performances , the film 's power lies in its complexity .",222338,0.88889,very positive,4,1430,3
156,And I 've decided to leave a light on every night from now on .,222342,0.55556,neutral,2,1389,3
157,"And if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins .",222358,0.76389,positive,3,1119,3
158,"And just when you think it ca n't get any more gay , in pops Nathan Lane .",24675,0.45833,neutral,2,1313,3
159,And that 's a big part of why we go to the movies .,222372,0.70833,positive,3,1161,3
160,And that leaves a hole in the center of The Salton Sea .,222375,0.36111,negative,1,7377,3
161,"And the lesson , in the end , is nothing new .",222378,0.26389,negative,1,7746,3
162,"And when you 're talking about a slapstick comedy , that 's a pretty big problem .",222385,0.16667,very negative,0,7640,3
163,Another in-your-face wallow in the lower depths made by people who have never sung those blues .,143823,0.38889,negative,1,7814,3
164,"Another one of those estrogen overdose movies like `` Divine Secrets of the Ya Ya Sisterhood , '' except that the writing , acting and character development are a lot better .",222393,0.76389,positive,3,1604,3
165,"Apart from dazzling cinematography , we 've seen just about everything in Blue Crush in one form or the other .",143853,0.48611,neutral,2,7362,3
166,"As A Rumor of Angels reveals itself to be a sudsy tub of supernatural hokum , not even Ms. Redgrave 's noblest efforts can redeem it from hopeless sentimentality .",222422,0.15278,very negative,0,7666,3
167,"As ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting .",143885,0.18056,very negative,0,7798,3
168,"As a first-time director , Paxton has tapped something in himself as an actor that provides Frailty with its dark soul .",24712,0.76389,positive,3,1324,3
169,"As a tolerable diversion , the film suffices ; a Triumph , however , it is not .",24720,0.44444,neutral,2,1253,3
170,"As befits its title , this PG-13-rated piffle is ultimately as threatening as the Snuggle Fabric Softener bear .",143898,0.41667,neutral,2,7866,3
171,"As surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming .",24729,0.81944,very positive,4,1132,3
172,"As the latest bid in the TV-to-movie franchise game , I Spy makes its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor .",143919,0.25,negative,1,7673,3
173,"As the two leads , Lathan and Diggs are charming and have chemistry both as friends and lovers .",44598,0.875,very positive,4,1582,3
174,As unseemly as its title suggests .,44601,0.625,positive,3,1423,3
175,As vulgar as it is banal .,143925,0.22222,negative,1,7720,3
176,"Aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better .",44605,0.68056,positive,3,1437,3
177,"At a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history .",24740,0.875,very positive,4,1224,3
178,At all .,222491,0.5,neutral,2,1526,3
179,"At its best , Queen is campy fun like the Vincent Price horror classics of the '60s .",222493,0.66667,positive,3,7512,3
180,"At its worst , it implodes in a series of very bad special effects .",222497,0.097222,very negative,0,7513,3
181,At least one scene is so disgusting that viewers may be hard pressed to retain their lunch .,222500,0.25,negative,1,7882,3
182,At once half-baked and overheated .,143948,0.26389,negative,1,7692,3
183,"At the very least , if you do n't know anything about Derrida when you walk into the theater , you wo n't know much more when you leave .",143954,0.26389,negative,1,7796,3
184,"At times , the suspense is palpable , but by the end there 's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential .",143960,0.38889,negative,1,7346,3
185,Atom Egoyan has conjured up a multilayered work that tackles any number of fascinating issues,44611,0.83333,very positive,4,1589,3
186,Attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience .,143965,0.22222,negative,1,7867,3
187,"Awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . '",44635,0.93056,very positive,4,1352,3
188,Bad .,144004,0.25,negative,1,7828,3
189,Barely gets off the ground .,144035,0.47222,neutral,2,7509,3
190,"Based on a devilishly witty script by Heather McGowan and Niels Mueller , the film gets great laughs , but never at the expense of its characters",44661,0.80556,very positive,4,1595,3
191,"Beautifully observed , miraculously unsentimental comedy-drama .",24803,0.97222,very positive,4,1211,3
192,"Because of an unnecessary and clumsy last scene , ` Swimfan ' left me with a very bad feeling .",144078,0.22222,negative,1,7397,3
193,"Belongs to Daniel Day-Lewis as much as it belongs to Martin Scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film .",44679,0.83333,very positive,4,1517,3
194,Beneath Clouds is a succinct low-budget film whose compelling characters and intelligent script are exactly what was missing from Rabbit-Proof Fence .,44689,0.58333,neutral,2,1392,3
195,"Bennett 's naturalistic performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch Some Body first .",44695,0.80556,very positive,4,1478,3
196,Better to just call it ABC Kiarostami .,222610,0.5,neutral,2,7713,3
197,Big Fat Waste of Time .,144151,0.19444,very negative,0,7450,3
198,Binoche makes it interesting trying to find out .,222625,0.81944,very positive,4,1373,3
199,"Birthday Girl is an amusing joy ride , with some surprisingly violent moments .",44725,0.65278,positive,3,1564,3
200,Blanchett 's performance confirms her power once again .,44733,0.88889,very positive,4,1617,3
201,"Bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves .",44736,0.66667,positive,3,1363,3
202,Bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid .,24856,0.69444,positive,3,1237,3
203,Brilliantly explores the conflict between following one 's heart and following the demands of tradition .,44782,0.875,very positive,4,1642,3
204,Broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .,24894,0.68056,positive,3,1186,3
205,"Building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise .",24902,0.72222,positive,3,1174,3
206,Burns never really harnesses to full effect the energetic cast .,144298,0.375,negative,1,7678,3
207,But is that knot from dramatic tension or a symptom of artistic malnutrition ?,144308,0.44444,neutral,2,7375,3
208,But it 's too long and too convoluted and it ends in a muddle .,222765,0.18056,very negative,0,1465,3
209,But it could have been worse .,222770,0.36111,negative,1,7896,3
210,But it still jingles in the pocket .,222777,0.61111,positive,3,1507,3
211,But its awkward structure keeps breaking the spell .,222781,0.43056,neutral,2,7691,3
212,"But taken as a stylish and energetic one-shot , The Queen of the Damned can not be said to suck .",24913,0.72222,positive,3,1159,3
213,But this films lacks the passion required to sell the material .,222823,0.30556,negative,1,7840,3
214,But what are adults doing in the theater at all ?,222834,0.38889,negative,1,7786,3
215,"By getting myself wrapped up in the visuals and eccentricities of many of the characters , I found myself confused when it came time to get to the heart of the movie .",144319,0.27778,negative,1,7519,3
216,"By the miserable standards to which the slasher genre has sunk , ... actually pretty good .",222853,0.5,neutral,2,7697,3
217,"By the time we learn that Andrew 's Turnabout Is Fair Play is every bit as awful as Borchardt 's Coven , we can enjoy it anyway .",24922,0.55556,neutral,2,1326,3
218,"Byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama .",24927,0.77778,positive,3,1235,3
219,CQ 's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best European directors .,44834,0.73611,positive,3,1419,3
220,Candid Camera on methamphetamines .,44850,0.55556,neutral,2,1378,3
221,Candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .,44853,0.875,very positive,4,1476,3
222,"Care deftly captures the wonder and menace of growing up , but he never really embraces the joy of Fuhrman 's destructive escapism or the grace-in-rebellion found by his characters .",144375,0.34722,negative,1,7468,3
223,Chabrol has taken promising material for a black comedy and turned it instead into a somber chamber drama .,144397,0.31944,negative,1,7494,3
224,"Challenging , intermittently engrossing and unflaggingly creative .",44877,0.80556,very positive,4,1464,3
225,"Characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license Avary employs .",144414,0.33333,negative,1,7633,3
226,"Charles ' entertaining film chronicles Seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic Adams ' attempts to get his shot at the big time .",44892,0.68056,positive,3,1469,3
227,"Chilling , well-acted , and finely directed : David Jacobson 's Dahmer .",24972,0.69444,positive,3,1176,3
228,"Chilling but uncommercial look into the mind of Jeffrey Dahmer , serial killer .",24974,0.56944,neutral,2,1283,3
229,Chokes on its own depiction of upper-crust decorum .,144466,0.22222,negative,1,7457,3
230,"Christina Ricci comedy about sympathy , hypocrisy and love is a misfire .",144487,0.51389,neutral,2,7345,3
231,"Claude Chabrol has here a thriller without thrills , but that 's okay .",44937,0.48611,neutral,2,1460,3
232,Collateral Damage finally delivers the goods for Schwarzenegger fans .,25011,0.69444,positive,3,1322,3
233,"Combining quick-cut editing and a blaring heavy metal much of the time , Beck seems to be under the illusion that he 's shooting the latest System of a Down video .",144552,0.36111,negative,1,7751,3
234,Comes ... uncomfortably close to coasting in the treads of The Bicycle Thief .,144557,0.34722,negative,1,7634,3
235,"Complete lack of originality , cleverness or even visible effort",144573,0.20833,negative,1,7817,3
236,Confirms the nagging suspicion that Ethan Hawke would be even worse behind the camera than he is in front of it .,144583,0.097222,very negative,0,7478,3
237,Cool ?,44960,0.66667,positive,3,1571,3
238,"Corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless .",223014,0.65278,positive,3,1524,3
239,Corpus Collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in .,144615,0.27778,negative,1,7400,3
240,Coughs and sputters on its own postmodern conceit .,144623,0.26389,negative,1,7728,3
241,"Crackerjack entertainment -- nonstop romance , music , suspense and action .",25036,1.0,very positive,4,1213,3
242,"Creepy , authentic and dark .",44977,0.41667,neutral,2,1381,3
243,Davis ... is so enamored of her own creation that she ca n't see how insufferable the character is .,144704,0.23611,negative,1,7835,3
244,"Dazzling in its complexity , disturbing for its extraordinary themes , The Piano Teacher is a film that defies categorisation .",223069,0.88889,very positive,4,1357,3
245,"Deadeningly dull , mired in convoluted melodrama , nonsensical jargon and stiff-upper-lip laboriousness .",144746,0.19444,very negative,0,7809,3
246,"Delivers the same old same old , tarted up with Latin flava and turned out by Hollywood playas .",144758,0.375,negative,1,7525,3
247,"Denis O'Neill 's script avoids the prime sports cliche , a last-second goal to win the championship , but it neglects few others .",144773,0.47222,neutral,2,7803,3
248,Dense with characters and contains some thrilling moments .,25098,0.79167,positive,3,1243,3
249,"Despite all evidence to the contrary , this clunker has somehow managed to pose as an actual feature movie , the kind that charges full admission and gets hyped on TV and purports to amuse small children and ostensible adults .",144793,0.20833,negative,1,7408,3
250,"Despite its title , Punch-Drunk Love is never heavy-handed .",223118,0.61111,positive,3,1613,3
251,"Despite the 2-D animation , The Wild Thornberrys Movie makes for a surprisingly cinematic experience .",45056,0.68056,positive,3,1490,3
252,"Despite the evocative aesthetics evincing the hollow state of modern love life , the film never percolates beyond a monotonous whine .",144814,0.23611,negative,1,7627,3
253,"Determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult .",223125,0.36111,negative,1,7838,3
254,Detox is ultimately a pointless endeavor .,144823,0.27778,negative,1,7364,3
255,Dilbert without the right-on satiric humor .,144849,0.47222,neutral,2,7521,3
256,Directed in a paint-by-numbers manner .,144851,0.22222,negative,1,7768,3
257,Director Andrew Niccol ... demonstrates a wry understanding of the quirks of fame .,223142,0.72222,positive,3,1657,3
258,Director Uwe Boll and the actors provide scant reason to care in this crude '70s throwback .,144881,0.30556,negative,1,7659,3
259,"Director of photography Benoit Delhomme shot the movie in delicious colors , and the costumes and sets are grand .",45076,0.94444,very positive,4,1532,3
260,Do n't be fooled by the impressive cast list - Eye See You is pure junk .,144913,0.125,very negative,0,7599,3
261,Do not see this film .,144929,0.31944,negative,1,7523,3
