,phrase,phrase ids,sentiment values,overall sentiment,sentiment_value,sentence_index,splitset_label
112,hopefully it 'll be at the dollar theatres by the time Christmas rolls around .,221804,0.52778,neutral,2,11136,1
113,hypnotically dull .,221805,0.16667,very negative,0,11729,1
114,"if it had been only half-an-hour long or a TV special , the humor would have been fast and furious -- at ninety minutes , it drags .",181311,0.27778,negative,1,11201,1
115,"if you 're just in the mood for a fun -- but bad -- movie , you might want to catch Freaks as a matinee .",103220,0.52778,neutral,2,5723,1
116,"if you , like me , think an action film disguised as a war tribute is disgusting to begin with , then you 're in for a painful ride .",103221,0.11111,very negative,0,6661,1
117,"in no way original , or even all that memorable , but as downtown Saturday matinee brain candy , it does n't disappoint .",62584,0.66667,positive,3,2905,1
118,in the pile of useless actioners from MTV schmucks who do n't know how to tell a story for more than four minutes .,181313,0.19444,very negative,0,11461,1
119,"instead go rent `` Shakes The Clown '' , a much funnier film with a similar theme and an equally great Robin Williams performance .",221809,0.375,negative,1,8034,1
120,irritating soul-searching garbage .,221810,0.069444,very negative,0,11776,1
121,"is there a deeper , more direct connection between these women , one that spans time and reveals meaning ?",221816,0.54167,neutral,2,2312,1
122,"it 's as comprehensible as any Dummies guide , something even non-techies can enjoy .",103227,0.73611,positive,3,5005,1
123,"it was n't the subject matter that ultimately defeated the film ... It was the unfulfilling , incongruous , `` wait a second , did I miss something ? ''",221820,0.13889,very negative,0,7031,1
124,its solemn pretension prevents us from sharing the awe in which it holds itself .,181319,0.34722,negative,1,9544,1
125,its stupidities wind up sticking in one 's mind a lot more than the cool bits .,103229,0.51389,neutral,2,6539,1
126,"less a story than an inexplicable nightmare , right down to the population 's shrugging acceptance to each new horror .",62594,0.22222,negative,1,3463,1
127,little more than a well-acted television melodrama shot for the big screen .,142796,0.48611,neutral,2,6851,1
128,manages to deliver a fair bit of vampire fun .,103230,0.68056,positive,3,5060,1
129,manages to fall closer in quality to Silence than to the abysmal Hannibal .,62595,0.59722,neutral,2,3140,1
130,may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence .,221823,0.30556,negative,1,9858,1
131,most viewers will wish there had been more of the `` Queen '' and less of the `` Damned . '',221824,0.25,negative,1,11029,1
132,"no charm , no laughs , no fun , no reason to watch .",181327,0.11111,very negative,0,9347,1
133,"once the true impact of the day unfolds , the power of this movie is undeniable .",43870,0.84722,very positive,4,2188,1
134,"one big laugh , three or four mild giggles , and a whole lot of not much else .",142798,0.41667,neutral,2,7200,1
135,one of the more influential works of the ` Korean New Wave ' .,62596,0.81944,very positive,4,3125,1
136,one of the most entertaining monster movies in ages ...,103235,0.84722,very positive,4,5403,1
137,one resurrection too many .,181328,0.29167,negative,1,9380,1
138,"only Bond can save us from the latest eccentric , super-wealthy megalomaniac bent on world domination and destruction .",62597,0.55556,neutral,2,3793,1
139,overly melodramatic ...,221825,0.19444,very negative,0,11766,1
140,passable enough for a shoot-out in the o.k. court house of life type of flick .,221826,0.58333,neutral,2,10450,1
141,pays tribute to heroes the way Julia Roberts hands out awards -- with phony humility barely camouflaging grotesque narcissism .,181330,0.18056,very negative,0,9356,1
142,"pitiful , slapdash disaster .",221827,0.055556,very negative,0,9080,1
143,"plenty of warmth to go around , with music and laughter and the love of family .",62598,0.81944,very positive,4,2463,1
144,"post-September 11 , `` The Sum Of All Fears '' seems more tacky and reprehensible , manipulating our collective fear without bestowing the subject with the intelligence or sincerity it unequivocally deserves .",221829,0.069444,very negative,0,10220,1
145,quite endearing .,221830,0.73611,positive,3,11690,1
146,quite good at providing some good old fashioned spooks .,103237,0.70833,positive,3,5113,1
147,really horrible drek .,221831,0.11111,very negative,0,11842,1
148,salaciously simplistic .,221832,0.44444,neutral,2,11790,1
149,silly humbuggery ...,221833,0.375,negative,1,11794,1
150,spellbinding fun and deliciously exploitative .,62601,0.91667,very positive,4,3586,1
151,stale and uninspired .,221839,0.20833,negative,1,11761,1
152,standard guns versus martial arts cliche with little new added .,103240,0.625,positive,3,6243,1
153,"strips Bible stores of the potential for sanctimoniousness , making them meaningful for both kids and church-wary adults .",103241,0.625,positive,3,5442,1
154,stumbles over every cheap trick in the book trying to make the outrage come even easier .,142805,0.22222,negative,1,7158,1
155,tackling a low-budget movie in which inexperienced children play the two main characters might not be the best way to cut your teeth in the film industry .,103242,0.51389,neutral,2,6592,1
156,"the cast portrays their cartoon counterparts well ... but quite frankly , Scoob and Shag do n't eat enough during the film . '",181342,0.34722,negative,1,10619,1
157,"the efforts of its star , Kline , to lend some dignity to a dumb story are for naught .",181343,0.29167,negative,1,10230,1
158,"the film 's considered approach to its subject matter is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama . '",62604,0.16667,very negative,0,3758,1
159,the implication is Kissinger may have decided that -- when it comes to truncheoning -- it 's better to give than to receive .,221843,0.55556,neutral,2,3236,1
160,the kind of entertainment that parents love to have their kids see .,62605,0.83333,very positive,4,3802,1
161,the kind of movie you see because the theater has air conditioning .,103244,0.25,negative,1,6392,1
162,the maudlin way its story unfolds suggests a director fighting against the urge to sensationalize his material .,221844,0.30556,negative,1,11747,1
163,"the one thing this Wild film has that other Imax films do n't : chimps , lots of chimps , all blown up to the size of a house .",221845,0.54167,neutral,2,4322,1
164,the picture 's cleverness is ironically muted by the very people who are intended to make it shine .,3480,0.47222,neutral,2,9622,1
165,the plot weaves us into a complex web .,103246,0.66667,positive,3,4675,1
166,"the same tired old gags , modernized for the extreme sports generation .",221847,0.43056,neutral,2,6546,1
167,"the story , like Ravel 's Bolero , builds to a crescendo that encompasses many more paths than we started with .",62607,0.75,positive,3,4238,1
168,"the story is far-flung , illogical , and plain stupid .",181345,0.013889,very negative,0,11412,1
169,the story simply putters along looking for astute observations and coming up blank .,142814,0.30556,negative,1,6876,1
170,"the tale of her passionate , tumultuous affair with Musset unfolds as Sand 's masculine persona , with its love of life and beauty , takes form .",62608,0.66667,positive,3,2249,1
171,the whole thing succeeded only in making me groggy .,181346,0.375,negative,1,10687,1
172,"there 's a choppy , surface-effect feeling to the whole enterprise .",142816,0.22222,negative,1,7027,1
173,there 's enough cool fun here to warm the hearts of animation enthusiasts of all ages .,62609,0.77778,positive,3,2516,1
174,there is enough originality in ` Life ' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .,43871,0.73611,positive,3,1901,1
175,they missed the boat .,142818,0.41667,neutral,2,7296,1
176,this is n't even a movie we can enjoy as mild escapism ; it is one in which fear and frustration are provoked to intolerable levels .,103249,0.125,very negative,0,6358,1
177,"this story gets sillier , not scarier , as it goes along ...",221848,0.23611,negative,1,10757,1
178,too contrived to be as naturally charming as it needs to be .,103250,0.27778,negative,1,6713,1
179,too sappy for its own good .,103251,0.26389,negative,1,6225,1
180,unbearably lame .,221849,0.097222,very negative,0,11813,1
181,"unlikable , uninteresting , unfunny , and completely , utterly inept .",181348,0.041667,very negative,0,9746,1
182,"unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted .",103254,0.027778,very negative,0,6098,1
183,"very funny , very enjoyable ...",43872,0.91667,very positive,4,1758,1
184,what a banal bore the preachy Circuit turns out to be,103255,0.16667,very negative,0,6192,1
185,"while certainly clever in spots , this too-long , spoofy update of Shakespeare 's Macbeth does n't sustain a high enough level of invention .",103256,0.27778,negative,1,6156,1
186,"while each moment of this broken character study is rich in emotional texture , the journey does n't really go anywhere .",62613,0.31944,negative,1,2280,1
187,"while the humor aspects of ` Jason X ' were far more entertaining than I had expected , everything else about the film tanks .",181350,0.22222,negative,1,9526,1
188,will always be remembered for the 9-11 terrorist attacks .,221851,0.5,neutral,2,7131,1
189,wise and elegiac ...,221852,0.875,very positive,4,11657,1
190,"with the gifted Pearce on hand to keep things on semi-stable ground dramatically , this retooled Machine is ultimately effective enough at achieving the modest , crowd-pleasing goals it sets for itself .",62614,0.81944,very positive,4,2544,1
191,works on some levels and is certainly worth seeing at least once .,103257,0.73611,positive,3,4730,1
192,would be a total loss if not for two supporting performances taking place at the movie 's edges .,181351,0.48611,neutral,2,9396,1
193,you can be forgiven for realizing that you 've spent the past 20 minutes looking at your watch and waiting for Frida to just die already .,181352,0.055556,very negative,0,11065,1
194,minutes into the film you 'll be white-knuckled and unable to look away .,62623,0.94444,very positive,4,3339,1
195,"Conversations may be a bit too enigmatic and overly ambitious to be fully successful , but Sprecher and her screenwriting partner and sister , Karen Sprecher , do n't seem ever to run out of ideas .",62645,0.40278,neutral,2,3391,1
196,"years of Russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness .",62709,0.84722,very positive,4,4251,1
197,"Ever has the same sledgehammer appeal as Pokemon videos , but it breathes more on the big screen and induces headaches more slowly .",103320,0.65278,positive,3,6535,1
198,"minutes of Pokemon may not last 4ever , it just seems like it does .",221901,0.33333,negative,1,6080,1
199,"punitive minutes of eardrum-dicing gunplay , screeching-metal smashups , and flaccid odd-couple sniping .",103357,0.16667,very negative,0,6485,1
200,"A 75-minute sample of puerile rubbish that is listless , witless , and devoid of anything resembling humor .",103393,0.055556,very negative,0,6257,1
201,"A 94-minute travesty of unparalleled proportions , writer-director Parker seems to go out of his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum .",103396,0.11111,very negative,0,6345,1
202,"A B-movie you can sit through , enjoy on a certain level and then forget .",62757,0.77778,positive,3,4220,1
203,"A Blair Witch - style adventure that plays like a bad soap opera , with passable performances from everyone in the cast .",142976,0.38889,negative,1,7071,1
204,A DOA dud from frame one .,221923,0.15278,very negative,0,9081,1
205,"A Frankenstein mishmash that careens from dark satire to cartoonish slapstick , Bartleby performs neither one very well .",142979,0.41667,neutral,2,6813,1
206,A French film with a more down-home flavor .,62761,0.61111,positive,3,3949,1
207,"A Jewish WW II doc that is n't trying simply to out-shock , out-outrage or out-depress its potential audience !",221928,0.55556,neutral,2,2419,1
208,A Lifetime movie about men .,181499,0.43056,neutral,2,9130,1
209,A Meatballs for the bare-midriff generation .,181502,0.52778,neutral,2,10458,1
210,A Movie to Forget,181504,0.36111,negative,1,10714,1
211,A Rumor of Angels does n't just slip -- it avalanches into forced fuzziness .,221931,0.19444,very negative,0,9407,1
212,A Sha-Na-Na sketch punctuated with graphic violence .,181508,0.43056,neutral,2,11302,1
213,"A ` Girls Gone Wild ' video for the boho art-house crowd , The Burning Sensation is n't a definitive counter-cultural document -- its makers are n't removed and inquisitive enough for that .",181518,0.19444,very negative,0,10151,1
214,"A `` Home Alone '' film that is staged like `` Rosemary 's Baby , '' but is not as well-conceived as either of those films .",221937,0.25,negative,1,10103,1
215,A `` black Austin Powers ? '',221939,0.44444,neutral,2,5508,1
216,A backhanded ode to female camaraderie penned by a man who has little clue about either the nature of women or of friendship .,103401,0.375,negative,1,6678,1
217,A backstage must-see for true fans of comedy .,43967,0.84722,very positive,4,1911,1
218,A bad movie that happened to good actors .,181521,0.18056,very negative,0,10638,1
219,A baffling mixed platter of gritty realism and magic realism with a hard-to-swallow premise .,103404,0.31944,negative,1,6735,1
220,"A baffling subplot involving smuggling drugs inside Danish cows falls flat , and if you 're going to alter the Bard 's ending , you 'd better have a good alternative .",103411,0.36111,negative,1,6219,1
221,"A banal , virulently unpleasant excuse for a romantic comedy .",181524,0.13889,very negative,0,11348,1
222,A battle between bug-eye theatre and dead-eye matinee .,221942,0.20833,negative,1,8031,1
223,"A beautiful , entertaining two hours .",221944,0.91667,very positive,4,4072,1
224,"A beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .",62780,0.875,very positive,4,2403,1
225,A beautiful paean to a time long past .,103415,0.65278,positive,3,4744,1
226,A beautifully observed character piece .,62782,0.91667,very positive,4,3006,1
227,A beautifully shot but dull and ankle-deep ` epic . ',181525,0.38889,negative,1,9579,1
228,A beautifully tooled action thriller about love and terrorism in Korea .,62783,0.86111,very positive,4,3127,1
229,A beguiling evocation of the quality that keeps Dickens evergreen : the exuberant openness with which he expresses our most basic emotions .,62786,0.79167,positive,3,2699,1
230,A behind the scenes look at the training and dedication that goes into becoming a world-class fencer and the champion that 's made a difference to NYC inner-city youth .,103417,0.55556,neutral,2,4815,1
231,"A beyond-lame satire , Teddy Bears ' Picnic ranks among the most pitiful directing debuts by an esteemed writer-actor .",181529,0.23611,negative,1,10783,1
232,"A big , loud , bang-the-drum bore .",181531,0.23611,negative,1,9197,1
233,A big fat pain .,103418,0.22222,negative,1,5954,1
234,A big meal of cliches that the talented cast generally chokes on .,181534,0.26389,negative,1,9849,1
235,"A big-budget\/all-star movie as unblinkingly pure as The Hours is a distinct rarity , and an event .",103421,0.65278,positive,3,5397,1
236,A biopic about Crane 's life in the classic tradition but evolves into what has become of us all in the era of video .,62789,0.59722,neutral,2,3172,1
237,"A bit of a downer and a little over-dramatic at times , but this is a beautiful film for people who like their romances to have that French realism .",62796,0.69444,positive,3,2570,1
238,A bit too derivative to stand on its own as the psychological thriller it purports to be .,181535,0.41667,neutral,2,9711,1
239,A bit too eager to please .,103423,0.34722,negative,1,6455,1
240,"A bittersweet contemporary comedy about benevolent deception , which , while it may not rival the filmmaker 's period pieces , is still very much worth seeing .",181538,0.80556,very positive,4,11563,1
241,A bittersweet drama about the limbo of grief and how truth-telling can open the door to liberation .,62799,0.68056,positive,3,3010,1
242,"A bittersweet film , simple in form but rich with human events .",103427,0.72222,positive,3,4902,1
243,"A bizarre piece of work , with premise and dialogue at the level of kids ' television and plot threads as morose as teen pregnancy , rape and suspected murder",181542,0.27778,negative,1,10548,1
244,"A bland , obnoxious 88-minute infomercial for Universal Studios and its ancillary products . . .",221946,0.23611,negative,1,11074,1
245,A bland animated sequel that hardly seems worth the effort .,143010,0.22222,negative,1,7113,1
246,A bodice-ripper for intellectuals .,103430,0.69444,positive,3,5039,1
247,"A bonanza of wacky sight gags , outlandish color schemes , and corny visual puns that can be appreciated equally as an abstract Frank Tashlin comedy and as a playful recapitulation of the artist 's career .",62803,0.58333,neutral,2,3907,1
248,A bore that tends to hammer home every one of its points .,143013,0.20833,negative,1,7007,1
249,"A boring , pretentious muddle that uses a sensational , real-life 19th-Century crime as a metaphor for -- well , I 'm not exactly sure what -- and has all the dramatic weight of a raindrop .",103438,0.069444,very negative,0,6602,1
250,"A boring masquerade ball where normally good actors , even Kingsley , are made to look bad .",181547,0.33333,negative,1,11378,1
251,"A bracing , unblinking work that serves as a painful elegy and sobering cautionary tale .",62807,0.77778,positive,3,2877,1
252,"A brain twister , less a movie-movie than a funny and weird meditation on Hollywood , success , artistic integrity and intellectual bankruptcy .",103440,0.58333,neutral,2,4816,1
253,"A breathtaking adventure for all ages , Spirit tells its poignant and uplifting story in a stunning fusion of music and images .",103443,0.83333,very positive,4,5310,1
254,"A breezy blend of art , history , esoteric musings and philosophy .",62810,0.76389,positive,3,2842,1
255,"A bright , inventive , thoroughly winning flight of revisionist fancy .",62812,0.75,positive,3,2444,1
256,"A brilliant , absurd collection of vignettes that , in their own idiosyncratic way , sum up the strange horror of life in the new millennium .",103446,0.69444,positive,3,5481,1
257,A brilliant gag at the expense of those who paid for it and those who pay to see it .,62815,0.56944,neutral,2,2681,1
258,"A brisk , reverent , and subtly different sequel .",62817,0.84722,very positive,4,2766,1
259,A brutal and funny work .,103448,0.80556,very positive,4,5537,1
260,A brutally dry satire of Middle American numbness .,103459,0.33333,negative,1,5018,1
261,A brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .,43978,0.44444,neutral,2,1851,1
262,"A buoyant romantic comedy about friendship , love , and the truth that we 're all in this together .",43982,0.70833,positive,3,2190,1
263,"A burst of color , music , and dance that only the most practiced curmudgeon could fail to crack a smile at .",62820,0.94444,very positive,4,4040,1
264,"A canny , derivative , wildly gruesome portrait of a London sociopath who 's the scariest of sadists .",62823,0.44444,neutral,2,2874,1
265,A captivating and intimate study about dying and loving ...,103462,0.90278,very positive,4,5192,1
266,A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .,43985,0.81944,very positive,4,1771,1
267,A captivating new film .,43986,0.875,very positive,4,1958,1
268,"A captivatingly quirky hybrid of character portrait , romantic comedy and beat-the-clock thriller .",43989,0.72222,positive,3,2142,1
269,A cartoon ?,221949,0.375,negative,1,6897,1
