,phrase,actual rating,predicted
45,"A lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s European-set spy pictures .",very positive,very negative
46,A literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002 .,very positive,very negative
47,A marvel like none you 've seen .,positive,neutral
48,A mess when it comes to the characters and writing ... but works its way underneath the skin like few movies have in recent memory .,neutral,very negative
49,"A misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment .",very negative,negative
50,A momentary escape from the summer heat and the sedentary doldrums that set in at this time of year .,neutral,very negative
51,"A moody , multi-dimensional love story and sci-fi mystery , Solaris is a thought-provoking , haunting film that allows the seeds of the imagination to germinate .",very positive,very negative
52,A movie that hovers somewhere between an acute character study and a trite power struggle .,neutral,negative
53,A movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair .,positive,very negative
54,A movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the Godzilla sized soda .,positive,neutral
55,A movie with a real anarchic flair .,positive,very negative
56,"A muckraking job , the cinematic equivalent of a legal indictment , and a fairly effective one at that .",neutral,very negative
57,"A must-see for the David Mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking .",very positive,very negative
58,A painfully funny ode to bad behavior .,positive,negative
59,"A perplexing example of promise unfulfilled , despite many charming moments .",neutral,very negative
60,"A pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable .",positive,very negative
61,"A poignant , artfully crafted meditation on mortality .",very positive,very negative
62,"A poignant and compelling story about relationships , Food of Love takes us on a bumpy but satisfying journey of the heart .",very positive,very negative
63,"A psychological thriller with a genuinely spooky premise and an above-average cast , actor Bill Paxton 's directing debut is a creepy slice of gothic rural Americana .",very positive,very negative
64,A quiet treasure -- a film to be savored .,very positive,very negative
65,"A ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .",neutral,very negative
66,A rarity among recent Iranian films : It 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight .,very positive,very negative
67,A rewarding work of art for only the most patient and challenge-hungry moviegoers .,positive,negative
68,A rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .,positive,very negative
69,A romantic comedy enriched by a sharp eye for manners and mores .,very positive,negative
70,A science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left .,very negative,negative
71,"A simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past .",very positive,very negative
72,"A smart , witty follow-up .",very positive,very negative
73,A sober and affecting chronicle of the leveling effect of loss .,neutral,negative
74,A solid examination of the male midlife crisis .,positive,very negative
75,A solid film ... but more conscientious than it is truly stirring .,positive,very negative
76,A sometimes tedious film .,negative,very negative
77,"A spellbinding African film about the modern condition of rootlessness , a state experienced by millions around the globe .",very positive,very negative
78,A strangely compelling and brilliantly acted psychological drama .,very positive,very negative
79,"A study in shades of gray , offering itself up in subtle plot maneuvers ...",positive,very negative
80,A stunning and overwhelmingly cogent case for Kissinger as a calculating war criminal .,neutral,very negative
81,A superbly acted and funny\/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate .,positive,very negative
82,"A swashbuckling tale of love , betrayal , revenge and above all , faith .",positive,very negative
83,A synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness .,negative,very negative
84,A taut psychological thriller that does n't waste a moment of its two-hour running time .,positive,negative
85,"A tender , heartfelt family drama .",positive,very negative
86,"A tender , witty , captivating film about friendship , love , memory , trust and loyalty .",very positive,very negative
87,A thinly veiled look at different aspects of Chinese life clashing with each other .,neutral,very negative
88,A touch of humor or an unexpected plot twist always pulls it back .,neutral,very negative
89,"A twisty , moody slice of Southern Gothic ...",neutral,very negative
90,"A very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction .",very negative,negative
91,"A very well-made , funny and entertaining picture .",very positive,very negative
92,"A warm , funny , engaging film .",very positive,very negative
93,"A warm but realistic meditation on friendship , family and affection .",very positive,very negative
94,A wildly inconsistent emotional experience .,negative,neutral
95,A woman 's pic directed with resonance by Ilya Chaiken .,positive,very negative
96,A working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered .,positive,negative
97,A workshop mentality prevails .,neutral,negative
98,"About a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological .",positive,neutral
99,"Add yet another hat to a talented head , Clooney 's a good director .",very positive,very negative
100,"Against all odds in heaven and hell , it creeped me out just fine .",positive,negative
101,"Ah yes , and then there 's the music ...",neutral,very negative
102,Ahhhh ... revenge is sweet !,positive,very negative
103,"All in all , The Count of Monte Cristo is okay , but it is surely no classic , like the novel upon which it is based .",neutral,negative
104,"All that 's missing is the spontaneity , originality and delight .",negative,very negative
105,"All-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us .",positive,very negative
106,Allows us to hope that Nolan is poised to embark a major career as a commercial yet inventive filmmaker .,positive,very negative
107,Almost gags on its own gore .,very negative,negative
108,"Although German cooking does not come readily to mind when considering the world 's best cuisine , Mostly Martha could make Deutchland a popular destination for hungry tourists .",positive,negative
109,"Although Huppert 's intensity and focus has a raw exhilaration about it , The Piano Teacher is anything but fun .",negative,neutral
110,"Although Jackson is doubtless reserving the darkest hours for The Return of the King , we long for a greater sense of urgency in the here and now of The Two Towers .",neutral,negative
111,"Although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs .",neutral,very negative
112,"Although the level of the comedy declines as the movie proceeds , there 's no denying the fun of watching De Niro and Crystal having fun .",neutral,negative
113,"Although there are several truly jolting scares , there 's also an abundance of hackneyed dialogue and more silly satanic business than you can shake a severed limb at .",neutral,negative
114,"Altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .",very positive,very negative
115,American Chai encourages rueful laughter at stereotypes only an Indian-American would recognize .,negative,very negative
116,Among the year 's most intriguing explorations of alientation .,very positive,very negative
117,"An absurdist comedy about alienation , separation and loss .",negative,very negative
118,An appealingly juvenile trifle that delivers its share of laughs and smiles .,neutral,very negative
119,"An artful , intelligent film that stays within the confines of a well-established genre .",very positive,very negative
120,"An entertaining , colorful , action-filled crime story with an intimate heart .",positive,very negative
121,"An exhilarating futuristic thriller-noir , Minority Report twists the best of technology around a gripping story , delivering a riveting , pulse intensifying escapist adventure of the first order",very positive,very negative
122,An exquisitely crafted and acted tale .,very positive,very negative
123,"An important movie , a reminder of the power of film to move us and to make us examine our values .",very positive,very negative
124,An infectious cultural fable with a tasty balance of family drama and frenetic comedy .,positive,very negative
125,An intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .,positive,negative
126,"An operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .",positive,very negative
127,"An unpredictable blend of gal-pal smart talk , romantic comedy and dark tragedy that bites off considerably more than writer\/director John McKay can swallow .",neutral,negative
128,"Anchored by Friel and Williams 's exceptional performances , the film 's power lies in its complexity .",very positive,very negative
129,"And if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins .",positive,negative
130,"And just when you think it ca n't get any more gay , in pops Nathan Lane .",neutral,negative
131,And that 's a big part of why we go to the movies .,positive,very negative
132,And that leaves a hole in the center of The Salton Sea .,negative,very negative
133,"And the lesson , in the end , is nothing new .",negative,very negative
134,"Another one of those estrogen overdose movies like `` Divine Secrets of the Ya Ya Sisterhood , '' except that the writing , acting and character development are a lot better .",positive,negative
135,"Apart from dazzling cinematography , we 've seen just about everything in Blue Crush in one form or the other .",neutral,negative
136,"As A Rumor of Angels reveals itself to be a sudsy tub of supernatural hokum , not even Ms. Redgrave 's noblest efforts can redeem it from hopeless sentimentality .",very negative,negative
137,"As ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting .",very negative,negative
138,"As a first-time director , Paxton has tapped something in himself as an actor that provides Frailty with its dark soul .",positive,negative
139,"As a tolerable diversion , the film suffices ; a Triumph , however , it is not .",neutral,negative
140,"As befits its title , this PG-13-rated piffle is ultimately as threatening as the Snuggle Fabric Softener bear .",neutral,negative
141,"As surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming .",very positive,very negative
142,"As the two leads , Lathan and Diggs are charming and have chemistry both as friends and lovers .",very positive,positive
143,As unseemly as its title suggests .,positive,negative
144,As vulgar as it is banal .,negative,very negative
145,"Aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better .",positive,negative
146,"At a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history .",very positive,very negative
147,"At its best , Queen is campy fun like the Vincent Price horror classics of the '60s .",positive,very negative
148,At once half-baked and overheated .,negative,very negative
149,"At the very least , if you do n't know anything about Derrida when you walk into the theater , you wo n't know much more when you leave .",negative,very negative
150,Atom Egoyan has conjured up a multilayered work that tackles any number of fascinating issues,very positive,negative
151,"Awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . '",very positive,very negative
152,Bad .,negative,neutral
153,Barely gets off the ground .,neutral,negative
154,"Based on a devilishly witty script by Heather McGowan and Niels Mueller , the film gets great laughs , but never at the expense of its characters",very positive,negative
155,"Beautifully observed , miraculously unsentimental comedy-drama .",very positive,very negative
156,"Belongs to Daniel Day-Lewis as much as it belongs to Martin Scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film .",very positive,neutral
157,Beneath Clouds is a succinct low-budget film whose compelling characters and intelligent script are exactly what was missing from Rabbit-Proof Fence .,neutral,negative
158,"Bennett 's naturalistic performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch Some Body first .",very positive,negative
159,Better to just call it ABC Kiarostami .,neutral,negative
160,Binoche makes it interesting trying to find out .,very positive,negative
161,"Birthday Girl is an amusing joy ride , with some surprisingly violent moments .",positive,very negative
162,Blanchett 's performance confirms her power once again .,very positive,neutral
163,"Bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves .",positive,negative
164,Bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid .,positive,very negative
165,Brilliantly explores the conflict between following one 's heart and following the demands of tradition .,very positive,neutral
166,Broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .,positive,very negative
167,"Building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise .",positive,very negative
168,But is that knot from dramatic tension or a symptom of artistic malnutrition ?,neutral,negative
169,But it 's too long and too convoluted and it ends in a muddle .,very negative,negative
170,But it still jingles in the pocket .,positive,negative
171,But its awkward structure keeps breaking the spell .,neutral,very negative
172,"But taken as a stylish and energetic one-shot , The Queen of the Damned can not be said to suck .",positive,negative
173,"By getting myself wrapped up in the visuals and eccentricities of many of the characters , I found myself confused when it came time to get to the heart of the movie .",negative,very negative
174,"By the miserable standards to which the slasher genre has sunk , ... actually pretty good .",neutral,negative
175,"By the time we learn that Andrew 's Turnabout Is Fair Play is every bit as awful as Borchardt 's Coven , we can enjoy it anyway .",neutral,negative
176,"Byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama .",positive,very negative
177,CQ 's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best European directors .,positive,very negative
178,Candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .,very positive,very negative
179,"Care deftly captures the wonder and menace of growing up , but he never really embraces the joy of Fuhrman 's destructive escapism or the grace-in-rebellion found by his characters .",negative,very negative
180,Chabrol has taken promising material for a black comedy and turned it instead into a somber chamber drama .,negative,very negative
181,"Challenging , intermittently engrossing and unflaggingly creative .",very positive,very negative
182,"Charles ' entertaining film chronicles Seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic Adams ' attempts to get his shot at the big time .",positive,negative
183,"Chilling , well-acted , and finely directed : David Jacobson 's Dahmer .",positive,very negative
184,"Chilling but uncommercial look into the mind of Jeffrey Dahmer , serial killer .",neutral,very negative
185,"Christina Ricci comedy about sympathy , hypocrisy and love is a misfire .",neutral,very negative
186,"Claude Chabrol has here a thriller without thrills , but that 's okay .",neutral,very negative
187,"Combining quick-cut editing and a blaring heavy metal much of the time , Beck seems to be under the illusion that he 's shooting the latest System of a Down video .",negative,very negative
188,Confirms the nagging suspicion that Ethan Hawke would be even worse behind the camera than he is in front of it .,very negative,negative
189,Cool ?,positive,neutral
190,"Corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless .",positive,very negative
191,"Crackerjack entertainment -- nonstop romance , music , suspense and action .",very positive,very negative
192,"Creepy , authentic and dark .",neutral,very negative
193,"Dazzling in its complexity , disturbing for its extraordinary themes , The Piano Teacher is a film that defies categorisation .",very positive,negative
194,"Deadeningly dull , mired in convoluted melodrama , nonsensical jargon and stiff-upper-lip laboriousness .",very negative,negative
195,"Denis O'Neill 's script avoids the prime sports cliche , a last-second goal to win the championship , but it neglects few others .",neutral,negative
196,Dense with characters and contains some thrilling moments .,positive,neutral
197,"Despite its title , Punch-Drunk Love is never heavy-handed .",positive,negative
198,"Despite the 2-D animation , The Wild Thornberrys Movie makes for a surprisingly cinematic experience .",positive,very negative
199,"Despite the evocative aesthetics evincing the hollow state of modern love life , the film never percolates beyond a monotonous whine .",negative,very negative
200,"Determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult .",negative,neutral
201,Dilbert without the right-on satiric humor .,neutral,very negative
202,Director Andrew Niccol ... demonstrates a wry understanding of the quirks of fame .,positive,very negative
203,"Director of photography Benoit Delhomme shot the movie in delicious colors , and the costumes and sets are grand .",very positive,negative
204,Do n't be fooled by the impressive cast list - Eye See You is pure junk .,very negative,negative
205,Do not see this film .,negative,neutral
206,Does little more than play an innocuous game of fill-in - the-blanks with a tragic past .,negative,very negative
207,"Does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence .",negative,very negative
208,"Dragonfly has no atmosphere , no tension -- nothing but Costner , flailing away .",very negative,negative
209,"Drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why .",positive,very negative
210,"Dull , lifeless , and amateurishly assembled .",very negative,negative
211,Enormously entertaining for moviegoers of any age .,very positive,neutral
212,"Entertains by providing good , lively company .",positive,very negative
213,Equilibrium is what George Orwell might have imagined had today 's mood-altering drug therapy been envisioned by chemists in 1949 .,neutral,negative
214,"Escaping the studio , Piccoli is warmly affecting and so is this adroitly minimalist movie .",positive,negative
215,"Even film silliness needs a little gravity , beyond good hair and humping .",neutral,very negative
216,"Even in its most tedious scenes , Russian Ark is mesmerizing .",positive,very negative
217,"Even in this less-than-magic kingdom , Reese rules .",neutral,negative
218,"Even on those rare occasions when the narrator stops yammering , Miller 's hand often feels unsure .",negative,neutral
219,"Even with a green Mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , Kilmer seems to be posing , rather than acting .",negative,very negative
220,Exactly what it claims to be -- a simple diversion for the kids .,neutral,very negative
221,"Exciting and direct , with ghost imagery that shows just enough to keep us on our toes .",positive,very negative
222,Exists then as an occasionally insightful acting exercise .,neutral,negative
223,"Exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran Bouquet and the chilling but quite human Berling .",very positive,very negative
224,Falls neatly into the category of Good Stupid Fun .,positive,neutral
225,Fancy a real downer ?,negative,neutral
226,"Far more imaginative and ambitious than the trivial , cash-in features Nickelodeon has made from its other animated TV series .",very positive,negative
227,"Feature debuter D.J. Caruso directs a crack ensemble cast , bringing screenwriter Tony Gayton 's narcotics noir to life .",very positive,negative
228,"Featuring a dangerously seductive performance from the great Daniel Auteuil , `` Sade '' covers the same period as Kaufmann 's `` Quills '' with more unsettlingly realistic results .",very positive,negative
229,"Feels haphazard , as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot .",very negative,negative
230,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands .,very positive,negative
231,Filmmakers who can deftly change moods are treasures and even marvels .,very positive,negative
232,"First-time writer-director Serry shows a remarkable gift for storytelling with this moving , effective little film .",positive,very negative
233,For AIDS and Africa are nothing more than part of the scenery .,neutral,negative
234,"For all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , Lily Chou-Chou never really builds up a head of emotional steam .",negative,very negative
235,"For all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it 's enough to make one pine for the day when Godard can no longer handle the rigors of filmmaking .",very negative,negative
236,"For anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of Hell Houses in particular , it 's an eye-opener .",positive,negative
237,"For movie lovers as well as opera lovers , Tosca is a real treat .",very positive,very negative
238,"For the first time in years , De Niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars .",positive,very negative
239,"For the most part , director Anne-Sophie Birot 's first feature is a sensitive , extraordinarily well-acted drama .",very positive,very negative
240,"For the most part , it 's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions .",very positive,very negative
241,For the most part Stevens glides through on some solid performances and witty dialogue .,positive,very negative
242,"For this reason and this reason only -- the power of its own steadfast , hoity-toity convictions -- Chelsea Walls deserves a medal .",positive,negative
243,Forgettable horror -- more gory than psychological -- with a highly satisfying quotient of Friday-night excitement and Milla power .,neutral,negative
244,Fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .,positive,negative
245,"From the opening scenes , it 's clear that All About the Benjamins is a totally formulaic movie .",negative,very negative
246,"Full of witless jokes , dealing in broad stereotypes and outrageously unbelievable scenarios , and saddled with a general air of misogyny",neutral,negative
247,Funny but perilously slight .,positive,very negative
248,"Further proof that the epicenter of cool , beautiful , thought-provoking foreign cinema is smack-dab in the middle of Dubya 's Axis of Evil .",positive,very negative
249,"Generally , Clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes .",positive,very negative
250,Generally provides its target audience of youngsters enough stimulating eye and ear candy to make its moral medicine go down .,neutral,very negative
251,"Given how heavy-handed and portent-heavy it is , this could be the worst thing Soderbergh has ever done .",very negative,negative
252,"Gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive .",positive,very negative
253,"Good car chases , great fight scenes , and a distinctive blend of European , American and Asian influences .",positive,very negative
254,"Good film , but very glum .",positive,very negative
255,Good old-fashioned slash-and-hack is back !,positive,very negative
256,"Green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project .",very negative,negative
257,Griffiths proves she 's that rare luminary who continually raises the standard of her profession .,very positive,very negative
258,"Half Submarine flick , Half Ghost Story , All in one criminally neglected film",neutral,negative
259,"Hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people .",positive,very negative
260,Harland Williams is so funny in drag he should consider permanent sex-reassignment .,neutral,negative
261,"Harris commands the screen , using his frailty to suggest the ravages of a life of corruption and ruthlessness .",positive,very negative
262,"Harrison 's Flowers puts its heart in the right place , but its brains are in no particular place at all .",positive,negative
263,Has a long and clunky ending ... which forces the audience to fidget through ten pseudo-serious minutes while waiting for the ending credits and the deleted scenes montage to break the audience 's awkward silence,neutral,very negative
264,Has a lot of the virtues of Eastwood at his best .,positive,very negative
265,Has all the depth of a wading pool .,very negative,negative
266,"Having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , Khouri then gets terrific performances from them all .",very positive,very negative
267,Here 's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep .,very negative,negative
268,Hey Arnold !,neutral,very negative
269,Hey Arnold !,neutral,very negative
270,"Highbrow self-appointed guardians of culture need not apply , but those who loved Cool as Ice have at last found a worthy follow-up .",positive,neutral
271,Hilariously inept and ridiculous .,positive,negative
272,His healthy sense of satire is light and fun ...,positive,very negative
273,Hit and miss as far as the comedy goes and a big ole ' miss in the way of story .,negative,positive
274,Holm ... embodies the character with an effortlessly regal charisma .,very positive,very negative
275,"Holy mad maniac in a mask , Splat-Man !",neutral,negative
276,"However it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust .",negative,very negative
277,Huppert 's superbly controlled display of murderous vulnerability ensures that malice has a very human face .,neutral,very negative
278,Huston nails both the glad-handing and the choking sense of hollow despair .,positive,negative
279,I 'll bet the video game is a lot more fun than the film .,negative,very negative
280,"I 'm sure if you 're a Hartley fan , you might enjoy yourself ... Me , I did n't care for it .",neutral,very negative
281,"I 've always dreamed of attending Cannes , but after seeing this film , it 's not that big a deal .",negative,very negative
282,"I ca n't say that I liked Homeboy ; it 'd be more accurate to say that I found it intriguing , bizarre , Dogma-like in spots - and quite truthful , in its way .",neutral,negative
283,I can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diapers .,negative,very negative
284,I do n't think I laughed out loud once .,very negative,negative
285,"I felt sad for Lise not so much because of what happens as because she was captured by this movie when she obviously belongs in something lighter and sunnier , by Rohmer , for example .",neutral,negative
286,I got a headache watching this meaningless downer .,very negative,negative
287,I had to look away - this was god awful .,very negative,negative
288,I just loved every minute of this film .,very positive,very negative
289,"I still ca n't relate to Stuart : He 's a mouse , for cryin ' out loud , and all he does is milk it with despondent eyes and whine that nobody treats him human enough .",neutral,negative
290,"I sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand .",negative,very negative
291,I thought my own watch had stopped keeping time as I slogged my way through Clockstoppers .,negative,very negative
292,"If I had been thinking about the visual medium , they would have been doing something wrong .",neutral,negative
293,If Steven Soderbergh 's ` Solaris ' is a failure it is a glorious failure .,very positive,very negative
294,"If The Count of Monte Cristo does n't transform Caviezel into a movie star , then the game is even more rigged than it was two centuries ago .",neutral,negative
295,"If it 's seldom boring , well , it 's also rarely coherent .",neutral,very negative
296,If only the story about a multi-million dollar con bothered to include the con .,neutral,negative
297,"If the first Men in Black was money , the second is small change .",very negative,negative
298,"If the movie succeeds in instilling a wary sense of ` there but for the grace of God , ' it is far too self-conscious to draw you deeply into its world .",negative,neutral
299,"If there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam .",very negative,negative
300,"If this disposable tissue has one wild card , it 's John Turturro , who 's simply fab as a Spanish butler with a foot fetish .",neutral,very negative
301,If this story must be told and retold -- and indeed it must -- then The Grey Zone is to be lauded for finding a new and ingenious angle .,neutral,very negative
302,"If you 're a WWF fan , or you related to the people who watched the robots getting butchered in A.I. , you 'll probably like Rollerball .",neutral,very negative
303,"If you 're hard up for raunchy college humor , this is your ticket right here .",positive,very negative
304,"If you 're in the mood for a Bollywood film , here 's one for you .",neutral,very negative
305,"If you 've ever entertained the notion of doing what the title of this film implies , what Sex With Strangers actually shows may put you off the idea forever .",negative,very negative
306,"If you 've ever wondered what an ending without the input of studio executives or test audiences would look like , here it is .",neutral,negative
307,"If you believe any of this , I can make you a real deal on leftover Enron stock that will double in value a week from Friday .",negative,very negative
308,"If you can stomach the rough content , it 's worth checking out for the performances alone .",positive,very negative
309,If you dig on David Mamet 's mind tricks ... rent this movie and enjoy !,very positive,very negative
310,If you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you .,very positive,neutral
311,If your taste runs to ` difficult ' films you absolutely ca n't miss it .,positive,negative
312,"Immersing us in the endlessly inventive , fiercely competitive world of hip-hop DJs , the project is sensational and revelatory , even if scratching makes you itch .",positive,negative
313,"Impostor has a handful of thrilling moments and a couple of good performances , but the movie does n't quite fly .",negative,very negative
314,"In a way , the film feels like a breath of fresh air , but only to those that allow it in .",very positive,negative
315,"In exactly 89 minutes , most of which passed as slowly as if I 'd been sitting naked on an igloo , Formula 51 sank from quirky to jerky to utter turkey .",very negative,negative
316,"In his first stab at the form , Jacquot takes a slightly anarchic approach that works only sporadically .",neutral,positive
317,"In its best moments , resembles a bad high school production of Grease , without benefit of song .",very negative,neutral
318,"In spite of Good Housekeeping 's unsavory characters and WWF mentality , this white trash War of the Roses is a surprisingly engaging film .",neutral,very negative
319,"In the end , the movie collapses on its shaky foundation despite the best efforts of director Joe Carnahan .",very negative,negative
