,phrase,actual rating,predicted
27,And I 've decided to leave a light on every night from now on .,neutral,neutral
28,"And when you 're talking about a slapstick comedy , that 's a pretty big problem .",very negative,very negative
29,Another in-your-face wallow in the lower depths made by people who have never sung those blues .,negative,negative
30,"As the latest bid in the TV-to-movie franchise game , I Spy makes its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor .",negative,negative
31,At all .,neutral,neutral
32,"At its worst , it implodes in a series of very bad special effects .",very negative,very negative
33,At least one scene is so disgusting that viewers may be hard pressed to retain their lunch .,negative,negative
34,"At times , the suspense is palpable , but by the end there 's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential .",negative,negative
35,Attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience .,negative,negative
36,"Because of an unnecessary and clumsy last scene , ` Swimfan ' left me with a very bad feeling .",negative,negative
37,Big Fat Waste of Time .,very negative,very negative
38,Burns never really harnesses to full effect the energetic cast .,negative,negative
39,But it could have been worse .,negative,negative
40,But this films lacks the passion required to sell the material .,negative,negative
41,But what are adults doing in the theater at all ?,negative,negative
42,Candid Camera on methamphetamines .,neutral,neutral
43,"Characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license Avary employs .",negative,negative
44,Chokes on its own depiction of upper-crust decorum .,negative,negative
45,Collateral Damage finally delivers the goods for Schwarzenegger fans .,positive,positive
46,Comes ... uncomfortably close to coasting in the treads of The Bicycle Thief .,negative,negative
47,"Complete lack of originality , cleverness or even visible effort",negative,negative
48,Corpus Collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in .,negative,negative
49,Coughs and sputters on its own postmodern conceit .,negative,negative
50,Davis ... is so enamored of her own creation that she ca n't see how insufferable the character is .,negative,negative
51,"Delivers the same old same old , tarted up with Latin flava and turned out by Hollywood playas .",negative,negative
52,"Despite all evidence to the contrary , this clunker has somehow managed to pose as an actual feature movie , the kind that charges full admission and gets hyped on TV and purports to amuse small children and ostensible adults .",negative,negative
53,Detox is ultimately a pointless endeavor .,negative,negative
54,Directed in a paint-by-numbers manner .,negative,negative
55,Director Uwe Boll and the actors provide scant reason to care in this crude '70s throwback .,negative,negative
56,"Due to some script weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality .",negative,negative
57,Even horror fans will most likely not find what they 're seeking with Trouble Every Day ; the movie lacks both thrills and humor .,very negative,very negative
58,"Even the finest chef ca n't make a hotdog into anything more than a hotdog , and Robert De Niro ca n't make this movie anything more than a trashy cop buddy comedy .",negative,negative
59,"Every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency .",negative,negative
60,Every nanosecond of the The New Guy reminds you that you could be doing something else far more pleasurable .,negative,negative
61,"Every time you look , Sweet Home Alabama is taking another bummer of a wrong turn .",negative,negative
62,"Excessive , profane , packed with cartoonish violence and comic-strip characters .",negative,negative
63,"Expect the same-old , lame-old slasher nonsense , just with different scenery .",very negative,very negative
64,Feels too formulaic and too familiar to produce the transgressive thrills of early underground work .,negative,negative
65,"For all the writhing and wailing , tears , rage and opium overdoses , there 's no sense of actual passion being washed away in love 's dissolution .",negative,negative
66,"For close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one .",negative,negative
67,"For each chuckle there are at least 10 complete misses , many coming from the amazingly lifelike Tara Reid , whose acting skills are comparable to a cardboard cutout .",negative,negative
68,"For starters , the story is just too slim .",negative,negative
69,"Forced , familiar and thoroughly condescending .",negative,negative
70,"Fun , flip and terribly hip bit of cinematic entertainment .",positive,positive
71,"His comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level .",negative,negative
72,"His last movie was poetically romantic and full of indelible images , but his latest has nothing going for it .",very negative,very negative
73,Historical dramas fused with love triangle is a well worn conceit .,neutral,neutral
74,Holden Caulfield did it better .,negative,negative
75,I 'd have to say the star and director are the big problems here .,negative,negative
76,I 'm just too bored to care .,negative,negative
77,I am sorry that I was unable to get the full brunt of the comedy .,negative,negative
78,I ca n't quite recommend it -- it 's too patched together -- but I almost can ; it 's the kind of movie that makes you want to like it .,neutral,neutral
79,"I do n't mind having my heartstrings pulled , but do n't treat me like a fool .",negative,negative
80,"I have no way of knowing exactly how much is exaggeration , but I 've got a creepy feeling that the film is closer to the mark than I want to believe .",neutral,neutral
81,"If director Michael Dowse only superficially understands his characters , he does n't hold them in contempt .",negative,negative
82,"If looking for a thrilling sci-fi cinematic ride , do n't settle for this Imposter .",negative,negative
83,"In all , this is a watchable movie that 's not quite the memorable experience it might have been .",negative,negative
84,"In an effort , I suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy .",negative,negative
85,"In execution , this clever idea is far less funny than the original , Killers From Space .",negative,negative
86,Indifferently implausible popcorn programmer of a movie .,negative,negative
87,Involves two mysteries -- one it gives away and the other featuring such badly drawn characters that its outcome hardly matters .,very negative,very negative
88,"Is the time really ripe for a warmed-over James Bond adventure , with a village idiot as the 007 clone ?",negative,negative
89,It 's a bit disappointing that it only manages to be decent instead of dead brilliant .,negative,negative
90,"It 's a cookie-cutter movie , a cut-and-paste job .",negative,negative
91,It 's a grab bag of genres that do n't add up to a whole lot of sense .,negative,negative
92,It 's a stunning lyrical work of considerable force and truth .,positive,positive
93,"It 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible , pun-laden dialogue .",negative,negative
94,"It 's another video movie photographed like a film , with the bad lighting that 's often written off as indie film naturalism .",negative,negative
95,It 's hampered by a Lifetime-channel kind of plot and a lead actress who is out of her depth .,negative,negative
96,"It 's hard to like a film about a guy who is utterly unlikeable , and Shiner , starring Michael Caine as an aging British boxing promoter desperate for a taste of fame and fortune , is certainly that .",negative,negative
97,"It 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn .",negative,negative
98,"It 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .",negative,negative
99,It 's just filler .,negative,negative
100,It 's not the ultimate Depression-era gangster movie .,negative,negative
101,"It 's of the quality of a lesser Harrison Ford movie - Six Days , Seven Nights , maybe , or that dreadful Sabrina remake .",negative,negative
102,It 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions .,very negative,very negative
103,"It 's slow -- very , very slow .",very negative,very negative
104,It 's too bad that the helping hand he uses to stir his ingredients is also a heavy one .,negative,negative
105,"It 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic .",negative,negative
106,It 's unnerving to see Recoing 's bizzarre reaction to his unemployment .,neutral,neutral
107,It appears that something has been lost in the translation to the screen .,negative,negative
108,"It ca n't decide if it wants to be a mystery\/thriller , a romance or a comedy .",negative,negative
109,"It can not be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is dull .",very negative,very negative
110,It has all the excitement of eating oatmeal .,negative,negative
111,"Its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ?",negative,negative
112,"Jason X is positively anti-Darwinian : nine sequels and 400 years later , the teens are none the wiser and Jason still kills on auto-pilot .",negative,negative
113,Just an average comedic dateflick but not a waste of time .,neutral,neutral
114,Just one bad idea after another .,negative,negative
115,"Less dizzying than just dizzy , the jaunt is practically over before it begins .",negative,negative
116,Let 's hope -- shall we ?,neutral,neutral
117,Long Time Dead ?,neutral,neutral
118,Looks and feels like a project better suited for the small screen .,negative,negative
119,Made with no discernible craft and monstrously sanctimonious in dealing with childhood loss .,negative,negative
120,More concerned with Sade 's ideas than with his actions .,neutral,neutral
121,More whiny downer than corruscating commentary .,negative,negative
122,Moretti 's compelling anatomy of grief and the difficult process of adapting to loss .,negative,negative
123,My reaction in a word : disappointment .,very negative,very negative
124,"Neither Parker nor Donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .",positive,positive
125,"Nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle .",very negative,very negative
126,Nervous breakdowns are not entertaining .,negative,negative
127,"Nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy .",negative,negative
128,No telegraphing is too obvious or simplistic for this movie .,negative,negative
129,Not exactly the Bees Knees,negative,negative
130,Not really bad so much as distasteful : We need kidnapping suspense dramas right now like we need doomsday thrillers .,negative,negative
131,Nothing is sacred in this gut-buster .,negative,negative
132,"Of course , by more objective measurements it 's still quite bad .",negative,negative
133,"On the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality .",very negative,very negative
134,"Once the 50 year old Benigni appears as the title character , we find ourselves longing for the block of wood to come back .",negative,negative
135,One from the heart .,positive,positive
136,Or emptying rat traps .,negative,negative
137,Overall the film feels like a low-budget TV pilot that could not find a buyer to play it on the tube .,negative,negative
138,"Paid In Full is so stale , in fact , that its most vibrant scene is one that uses clips from Brian De Palma 's Scarface .",very negative,very negative
139,Part low rent Godfather .,negative,negative
140,"Passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards .",negative,negative
141,Plays like a volatile and overlong W magazine fashion spread .,negative,negative
142,"Portentous and pretentious , The Weight of Water is appropriately titled , given the heavy-handedness of it drama .",negative,negative
143,"Prurient playthings aside , there 's little to love about this English trifle .",negative,negative
144,Rare Birds has more than enough charm to make it memorable .,positive,positive
145,Rarely has so much money delivered so little entertainment .,negative,negative
146,"Schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character .",negative,negative
147,Scorsese does n't give us a character worth giving a damn about .,negative,negative
148,Serving Sara does n't serve up a whole lot of laughs .,negative,negative
149,"Shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere .",negative,negative
150,Should have been someone else -,negative,negative
151,Simplistic fluff-ball of whimsy .,neutral,neutral
152,"Sit through this one , and you wo n't need a magic watch to stop time ; your DVD player will do it for you .",negative,negative
153,Something like scrubbing the toilet .,negative,negative
154,Sometimes seems less like storytelling than something the otherwise compelling director needed to get off his chest .,negative,negative
155,"Stealing Harvard is evidence that the Farrelly Bros. -- Peter and Bobby -- and their brand of screen comedy are wheezing to an end , along with Green 's half-hearted movie career .",very negative,very negative
156,Suffers from the lack of a compelling or comprehensible narrative .,very negative,very negative
157,"Sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is Rebecca Romijn-Stamos .",negative,negative
158,Teen movies have really hit the skids .,negative,negative
159,That 's pure PR hype .,negative,negative
160,The Cold Turkey would 've been a far better title .,negative,negative
161,"The French are rather good at this kind of thing , unlike the Americans , who have a passion for Musketeers , only to spoof them .",neutral,neutral
162,"The X potion gives the quickly named Blossom , Bubbles and Buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays .",negative,negative
163,"The action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .",negative,negative
164,The character of ZigZag is not sufficiently developed to support a film constructed around him .,negative,negative
165,"The film 's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style .",very negative,very negative
166,"The film contains no good jokes , no good scenes , barely a moment when Carvey 's Saturday Night Live-honed mimicry rises above the level of embarrassment .",negative,negative
167,"The film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle .",negative,negative
168,The film makes a fatal mistake : It asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life .,negative,negative
169,The film tries too hard to be funny and tries too hard to be hip .,negative,negative
170,"The humor is forced and heavy-handed , and occasionally simply unpleasant .",negative,negative
171,The movie 's accumulated force still feels like an ugly knot tightening in your stomach .,negative,negative
172,"The movie , directed by Mick Jackson , leaves no cliche unturned , from the predictable plot to the characters straight out of central casting .",negative,negative
173,The movie fails to live up to the sum of its parts .,negative,negative
174,"The movie is Dawn of the Dead crossed with John Carpenter 's Ghosts of Mars , with zombies not as ghoulish as the first and trains not as big as the second .",negative,negative
175,The moviegoing equivalent of going to a dinner party and being forced to watch the host and hostess 's home video of their baby 's birth .,very negative,very negative
176,The next generation of mob movie .,neutral,neutral
177,The piquant story needs more dramatic meat on its bones .,negative,negative
178,The problem with this film is that it lacks focus .,negative,negative
179,"The reality of the new live-action Pinocchio he directed , cowrote and starred in borders on the grotesque .",negative,negative
180,"The stripped-down approach does give the film a certain timeless quality , but the measured pace and lack of dramatic inflection can also seem tedious .",neutral,neutral
181,"There 's a solid woman - finding-herself story somewhere in here , but you 'd have to dig pretty deep to uncover it .",neutral,neutral
182,"There 's too much falseness to the second half , and what began as an intriguing look at youth fizzles into a dull , ridiculous attempt at heart-tugging .",negative,negative
183,There can be no other explanation .,neutral,neutral
184,"There ought to be a directing license , so that Ed Burns can have his revoked .",very negative,very negative
185,"There seems to be no clear path as to where the story 's going , or how long it 's going to take to get there .",negative,negative
186,They should have called it Gutterball .,negative,negative
187,This directorial debut from music video show-off Higuchinsky is all flash .,neutral,neutral
188,"This film seems thirsty for reflection , itself taking on adolescent qualities .",negative,negative
189,This is it .,neutral,neutral
190,This is n't even Madonna 's Swept Away .,negative,negative
191,"This is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience .",very negative,very negative
192,"This is the sort of burly action flick where one coincidence pummels another , narrative necessity is a drunken roundhouse , and whatever passes for logic is a factor of the last plot device left standing .",negative,negative
193,This movie seems to have been written using Mad-libs .,negative,negative
194,"This piece of Channel 5 grade trash is , quite frankly , an insult to the intelligence of the true genre enthusiast .",very negative,very negative
195,To call The Other Side of Heaven `` appalling '' would be to underestimate just how dangerous entertainments like it can be .,negative,negative
196,To say this was done better in Wilder 's Some Like It Hot is like saying the sun rises in the east .,negative,negative
197,Too much of it feels unfocused and underdeveloped .,very negative,very negative
198,Too much of the humor falls flat .,negative,negative
199,"Too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... The Isle defies an easy categorization .",negative,negative
200,"Too slow , too long and too little happens .",negative,negative
201,Tries to add some spice to its quirky sentiments but the taste is all too familiar .,negative,negative
202,Turns potentially forgettable formula into something strangely diverting .,positive,positive
203,"Uncommonly stylish but equally silly ... the picture fails to generate much suspense , nor does it ask searching enough questions to justify its pretensions .",negative,negative
204,Unflinchingly bleak and desperate,negative,negative
205,Van Wilder brings a whole new meaning to the phrase ` comedy gag . ',neutral,neutral
206,"Velocity represents everything wrong with '' independent film '' as a commodified , sold-out concept on the American filmmaking scene .",negative,negative
207,Vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them .,negative,negative
208,Verbinski implements every hack-artist trick to give us the ooky-spookies .,negative,negative
209,"Visually rather stunning , but ultimately a handsome-looking bore , the true creativity would have been to hide Treasure Planet entirely and completely reimagine it .",negative,negative
210,"Well-nigh unendurable ... though the picture strains to become cinematic poetry , it remains depressingly prosaic and dull .",very negative,very negative
211,"Whaley 's determination to immerse you in sheer , unrelenting wretchedness is exhausting .",very negative,very negative
212,What Time Is It There ?,neutral,neutral
213,"What is 100 % missing here is a script of even the most elemental literacy , an inkling of genuine wit , and anything resembling acting .",very negative,very negative
214,What the director ca n't do is make either of Val Kilmer 's two personas interesting or worth caring about .,negative,negative
215,What was once original has been co-opted so frequently that it now seems pedestrian .,negative,negative
216,"When the film ended , I felt tired and drained and wanted to lie on my own deathbed for a while .",very negative,very negative
217,Which is n't to say that it 's the equal of some of its predecessors .,neutral,neutral
218,Who needs love like this ?,neutral,neutral
219,"With its dogged Hollywood naturalism and the inexorable passage of its characters toward sainthood , Windtalkers is nothing but a sticky-sweet soap .",negative,negative
220,"With virtually no interesting elements for an audience to focus on , Chelsea Walls is a triple-espresso endurance challenge .",negative,negative
221,"Works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them .",negative,negative
222,"Yes , Ballistic is silly .",neutral,neutral
223,You wonder why Enough was n't just a music video rather than a full-length movie .,negative,negative
224,"But Daphne , you 're too Buff \/ Fred thinks he 's tough \/ And Velma - wow , you 've lost weight !",negative,negative
225,a by-the-numbers patient\/doctor pic that covers all the usual ground,negative,negative
226,is not easy .,neutral,neutral
227,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so,negative,negative
228,just not campy enough,negative,negative
229,when Leguizamo finally plugged an irritating character late in the movie .,negative,negative
